메뉴 이름,방법 분류,국가 분류,테마 분류,난이도 분류,주재료 이름,조리시간
견과류 영양솥밥,"['밥', '죽', '스프']",한식,메인요리,쉬움,"['백미 1과3/4컵', '은행 12개', '밤 8개', '대추 4개', '잣 1큰술']",60
굴밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['굴 300g', '쌀 200g', '보리쌀 80g']",30
김치볶음밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['김치(잘게썬것) 1/3포기', '밥 2공기']",20
꽃상추쌈,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['상추 4장', '밥 1그릇']",30
녹두죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['녹두 1컵', '쌀 2컵']",60
단팥죽,"['밥', '죽', '스프']",한식,메인요리,쉬움,"['팥 2컵', '설탕 2컵', '인절미 100g', '소금 약간']",60
달래간장과 모둠버섯밥,"['밥', '죽', '스프']",한식,메인요리,쉬움,"['표고버섯 2장', '팽이버섯 1봉', '느타리버섯 20g', '양송이버섯 2개', '새송이버섯 1개', '쌀 100g']",60
닭날개주먹밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['찹쌀 2/3컵씩', '멥쌀 2/3컵씩', '닭날개 10개']",60
닭안심죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['닭(안심) 50g', '찬밥 1/2공기']",30
대구계란죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['대구(살) 50g', '쌀(가루) 1/2컵']",20
돌솥비빔밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['애호박 60g', '취나물 60g', '시금치 60g', '고사리 60g', '육회 60g']",30
두부밥부침,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['두부 1모', '찬밥 1/2공기']",20
무죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['무 1/4개', '쌀 1/2컵']",60
무청밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['불린쌀 1과1/2컵', '무청 삶은 것(시래기) 80g', '물 1과1/2컵']",60
미니김밥,"['밥', '죽', '스프']",한식,간식,매우 쉬움,"['쌀 1컵', '김 3장', '계란 3개']",30
버섯덮밥,"['밥', '죽', '스프']",한식,메인요리,쉬움,"['밥 4공기', '쇠고기(우둔) 80g', '느타리버섯 100g', '표고버섯 3장', '양송이버섯 3개', '목이버섯 6장', '팽이버섯 1/2봉지']",60
버섯죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['쌀 100g', '버섯 40g']",30
새우죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['쌀 1컵', '새우 200g']",30
색색주먹밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['밥 2공기', '쇠고기(다진것) 100g', '김치 100g', '후리가께 약간']",30
송어상추까나페,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,['송어(슬라이스) 1마리'],30
쇠고기김치말이,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['쇠고기 400g', '밥 1공기', '김치 200g']",30
쇠고기김치말이밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['쇠고기(안심) 300g', '찬밥 1/2공기', '김치 50g']",30
쇠고기덮밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['쇠고기 100g', '밥 1공기']",30
쇠고기말이밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['쇠고기(샤브샤브용) 200g', '밥 1공기']",30
수삼영양밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['수삼 1뿌리', '찹쌀 1/2컵', '멥쌀 1/2컵', '흑미 30g', '차조 20g']",30
시금치된장죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['쌀 1컵', '시금치 30g']",30
양송이버섯죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['찹쌀 1컵', '양송이버섯 5개']",30
오곡밥쌈밥정식,"['밥', '죽', '스프']",한식,메인요리,쉬움,"['오곡곡물 2컵', '상추(쌈용) 약간', '깻잎 약간', '치커리 약간']",60
오곡주먹밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['찹쌀 40g', '쌀 40g']",30
옥수수죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['스위트콘 1캔', '쌀 1컵']",30
우렁된장쌈밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,['우렁 100g'],20
우엉시금치죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['우엉 15cm', '당근 10cm', '시금치 50g', '쌀(불린 것) 1과1/2컵']",30
웰빙비빔밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,['보리밥 400g'],20
전복죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['전복 1개', '쌀 1컵']",30
죽순죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['쌀 2컵', '죽순 120g']",30
참치김초밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['김 6장', '참치통조림 1캔', '밥 6공기']",30
참치주먹밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['참치통조림 1캔', '밥 2공기']",30
참치죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['밥 2공기', '참치캔 1개']",30
참치죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['참치통조림 1캔', '불린쌀 1컵']",30
채소영양밥,"['밥', '죽', '스프']",한식,메인요리,쉬움,"['쌀 2컵', '대추 6알', '밤 3톨', '은행 6알', '느타리버섯 60g', '스위트콘 1캔']",60
콩가루찬밥지짐이,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['밥 2공기', '콩가루 2큰술']",30
콩나물국밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['밥 4공기', '콩나물 300g']",30
콩나물무밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['쌀 2컵', '콩나물 500g', '무 1/5개']",30
콩나물밥,"['밥', '죽', '스프']",한식,메인요리,쉬움,"['쌀 2컵', '콩나물 300g', '쇠고기 100g']",60
키조개나물밥,"['밥', '죽', '스프']",한식,메인요리,쉬움,"['키조개 1개', '머위 20g']",60
해삼밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['불린쌀 1과1/2컵', '반건조해삼 2마리']",30
현미땅콩죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['현미찹쌀 1/2컵', '생땅콩 1/4컵']",30
흑임자깨죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,"['밥 1공기', '불린쌀 2큰술', '흑임자 1/2컵']",30
가지냉국,['국'],한식,메인요리,쉬움,['가지 2개'],60
감자국,['국'],한식,메인요리,쉬움,"['북어포 1/2마리', '감자 2개', '양파 1/2개']",60
계란실파국,['국'],한식,메인요리,매우 쉬움,['계란 2개'],30
굴비매운탕,['국'],한식,메인요리,매우 쉬움,['굴비 2마리'],30
근대된장국,['국'],한식,메인요리,매우 쉬움,['근대 200g'],30
김치홍합국,['국'],한식,메인요리,매우 쉬움,"['김치 1/4포기', '홍합 1/2컵']",30
냉이조갯국,['국'],한식,메인요리,매우 쉬움,"['냉이 200g', '모시조개 200g']",30
다시마냉국,['국'],한식,메인요리,매우 쉬움,['다시마(5cm x 10cm) 2장'],20
닭개장,['국'],한식,메인요리,매우 쉬움,['닭 1/2마리'],60
두부새우젓국,['국'],한식,메인요리,매우 쉬움,"['두부 1모', '굴 200g']",60
두부조개탕,['국'],한식,메인요리,매우 쉬움,"['두부 1/2모', '모시조개 200g', '북어 30g']",30
두붓국,['국'],한식,메인요리,매우 쉬움,"['두부 1모', '쇠고기 100g']",60
떡국,['국'],한식,메인요리,매우 쉬움,"['가래떡 500g', '쇠고기 육수 8컵', '쇠고기(우둔) 100g']",30
맑은대구탕,['국'],한식,메인요리,매우 쉬움,['생대구 1/2마리'],60
무국,['국'],한식,메인요리,매우 쉬움,"['쇠고기(양지) 120g', '무 400g']",60
무맑은국,['국'],한식,메인요리,매우 쉬움,"['쇠고기 120g', '무 400g']",30
미역국,['국'],한식,메인요리,매우 쉬움,"['미역(불린것) 2컵', '다진쇠고기 150g']",30
미역냉국,['국'],한식,메인요리,매우 쉬움,['불린미역 2컵'],30
배추속댓국,['국'],한식,메인요리,매우 쉬움,"['배추(속대) 200g', '무 1/4개', '쇠고기(사태) 60g']",30
부추재첩국,['국'],한식,메인요리,매우 쉬움,"['부추 1/2단', '재첩 100g']",30
북어국,['국'],한식,메인요리,매우 쉬움,"['통북어 2마리', '콩나물 40g', '두부 1/2모']",30
생태매운탕,['국'],한식,메인요리,쉬움,"['생태 1마리', '바지락 50g', '무 50g']",60
시금치된장국,['국'],한식,메인요리,매우 쉬움,"['시금치 300g', '말린새우 30g', '된장 3큰술']",30
아구탕,['국'],한식,메인요리,매우 쉬움,"['아구 1/2마리', '콩나물 50g']",30
아욱국,['국'],한식,메인요리,매우 쉬움,['아욱 200g'],30
양배춧국,['국'],한식,메인요리,매우 쉬움,"['양배추 100g', '모시조개 1봉지']",30
어묵국,['국'],한식,메인요리,매우 쉬움,['어묵 150g'],30
오이냉국,['국'],한식,메인요리,매우 쉬움,"['오이 2개', '물 10컵']",20
우무콩냉국,['국'],한식,메인요리,매우 쉬움,"['우무 40g', '콩 500g']",20
유부미역된장국,['국'],한식,메인요리,매우 쉬움,"['불린미역 100g', '유부 5장', '두부 1/3모']",30
재첩국,['국'],한식,메인요리,매우 쉬움,['재첩 10컵'],30
조개맑은탕,['국'],한식,메인요리,쉬움,['대합 15개'],60
콩가루에빠진쑥국,['국'],한식,메인요리,매우 쉬움,"['쑥 20g', '날콩가루 2큰술']",20
콩나물냉국,['국'],한식,메인요리,매우 쉬움,['콩나물 300g'],20
콩나물북어채국,['국'],한식,메인요리,매우 쉬움,"['콩나물 50g', '북어채 50g']",60
톳미역콩국,['국'],한식,메인요리,매우 쉬움,"['톳 100g', '미역 50g', '메주콩 500g']",30
해물 취나물된장국,['국'],한식,메인요리,매우 쉬움,"['꽃게 2마리', '키조개 1개', '취나물 30g']",30
갈치무조림,['조림'],한식,메인요리,매우 쉬움,"['갈치 1마리', '무 1/4개']",60
갈치조림,['조림'],한식,메인요리,매우 쉬움,['갈치 4토막'],30
감자곤약조림,['조림'],한식,반찬,매우 쉬움,"['감자 2개', '곤약 40g']",30
감자조림,['조림'],한식,반찬,매우 쉬움,"['감자 3개', '멸치(조림용) 100g', '꽈리고추 10개']",60
견과류조림,['조림'],한식,반찬,매우 쉬움,"['호두 6개', '땅콩 4큰술', '잣 4큰술', '밤 4개']",20
고등어무조림,['조림'],한식,메인요리,매우 쉬움,"['고등어 1마리', '무 1/3개']",30
고등어조림,['조림'],한식,메인요리,매우 쉬움,['고등어 1마리'],30
고등어튀김케첩조림,['조림'],한식,메인요리,매우 쉬움,['고등어 1마리'],30
굴비조림,['조림'],한식,메인요리,매우 쉬움,['굴비 2마리'],30
꼴뚜기조림,['조림'],한식,반찬,매우 쉬움,['건꼴뚜기 1컵'],30
돼지고기우엉말이조림,['조림'],한식,반찬,매우 쉬움,"['우엉 100g', '돼지고기 100g']",30
두부양념조림,['조림'],한식,반찬,매우 쉬움,['두부 1/2모'],20
두부조림,['조림'],한식,반찬,매우 쉬움,['두부 1모'],30
떡선,['조림'],한식,반찬,매우 쉬움,"['가래떡 1줄', '쇠고기(홍두깨) 50g']",60
알감자조림,['조림'],한식,반찬,매우 쉬움,['알감자 60g'],30
알감자조림,['조림'],한식,반찬,매우 쉬움,['알감자 300g'],30
어묵곤약조림,['조림'],한식,반찬,매우 쉬움,"['어묵 100g', '곤약 50g']",30
우엉조림,['조림'],한식,반찬,매우 쉬움,['우엉 400g'],30
조기한식조림,['조림'],한식,메인요리,쉬움,['조기 1마리'],60
향신양념쇠고기장조림,['조림'],한식,메인요리,매우 쉬움,['쇠고기 600g'],30
가자미구이,['구이'],한식,메인요리,매우 쉬움,['가자미 1마리'],20
갈치구이,['구이'],한식,메인요리,매우 쉬움,['갈치 1마리'],15
건포도갈비구이,['구이'],한식,메인요리,매우 쉬움,['쇠고기(갈비) 400g'],20
고등어된장구이,['구이'],한식,메인요리,매우 쉬움,['고등어 1/2마리'],30
고등어스테이크,['구이'],한식,메인요리,매우 쉬움,['고등어 1마리'],60
고등어양념구이,['구이'],한식,메인요리,매우 쉬움,['고등어 1/2마리'],30
굴꼬치구이,['구이'],한식,메인요리,매우 쉬움,['굴 200g'],30
김구이,['구이'],한식,반찬,매우 쉬움,['김 10장'],10
꽁치구이,['구이'],한식,메인요리,매우 쉬움,['꽁치 1마리'],20
낙지호롱구이,['구이'],한식,메인요리,매우 쉬움,['낙지 2마리'],30
닭꼬치구이,['구이'],한식,메인요리,매우 쉬움,['닭고기 500g'],30
대파미소구이,['구이'],한식,메인요리,매우 쉬움,['대파 2대'],20
도루묵구이,['구이'],한식,메인요리,매우 쉬움,['도루묵 2마리'],30
돼지갈비구이,['구이'],한식,메인요리,매우 쉬움,['돼지갈비(구이용) 600g'],60
돼지고기고추장구이,['구이'],한식,메인요리,매우 쉬움,['돼지고기(등심 또는 삼겹살) 300g'],30
두부김치,['구이'],한식,메인요리,매우 쉬움,"['두부 1/2모', '신김치 50g']",30
떡꼬치,['구이'],한식,간식,매우 쉬움,"['가래떡(떡볶이용) 250g', '쇠고기(우둔) 100g']",30
로스편채,['구이'],한식,메인요리,매우 쉬움,"['쇠고기 150g', '찹쌀가루 1컵']",30
뱅어포구이,['구이'],한식,메인요리,매우 쉬움,['뱅어포 4장'],30
병어양념구이,['구이'],한식,메인요리,매우 쉬움,['병어 2마리'],30
봄나물돼지고기구이,['구이'],한식,메인요리,매우 쉬움,"['돼지고기(목심) 300g', '미나리 40g']",30
북어고추장구이,['구이'],한식,메인요리,매우 쉬움,['북어 2마리'],30
삼치마요네즈구이,['구이'],한식,메인요리,매우 쉬움,['삼치 1마리'],30
새송이버섯구이,['구이'],한식,메인요리,매우 쉬움,['새송이버섯 2개'],20
섭산적,['구이'],한식,메인요리,매우 쉬움,"['쇠고기 300g', '두부 100g']",30
오징어통구이,['구이'],한식,메인요리,매우 쉬움,['오징어 1마리'],30
자반고등어구이,['구이'],한식,메인요리,매우 쉬움,['자반고등어 1마리'],20
제육파말이,['구이'],한식,메인요리,매우 쉬움,"['돼지고기(삼겹살) 150g', '찹쌀가루 4큰술']",30
쭈꾸미버터구이,['구이'],한식,메인요리,매우 쉬움,['쭈꾸미 1코'],30
청어구이,['구이'],한식,메인요리,매우 쉬움,['청어 1마리'],30
한식닭양념구이,['구이'],한식,메인요리,쉬움,['닭 1마리'],60
호박가지된장구이,['구이'],한식,메인요리,매우 쉬움,"['애호박 1개', '가지 1개']",30
가지튀김,"['튀김', '커틀릿']",한식,메인요리,매우 쉬움,"['가지 1개', '돼지고기(다진것) 150g']",30
굴튀김,"['튀김', '커틀릿']",한식,메인요리,매우 쉬움,['굴 10개'],30
단호박튀김,"['튀김', '커틀릿']",한식,메인요리,매우 쉬움,['단호박 100g'],30
대추수삼마늘튀김,"['튀김', '커틀릿']",한식,메인요리,매우 쉬움,"['대추 20알', '수삼 1뿌리', '마늘 2알']",30
북어강정,"['튀김', '커틀릿']",한식,메인요리,매우 쉬움,['북어 1마리'],30
잡채전병튀김,"['튀김', '커틀릿']",한식,메인요리,매우 쉬움,"['잡채 300g', '만두피 10장']",20
코다리강정,"['튀김', '커틀릿']",한식,메인요리,매우 쉬움,['코다리 50g'],30
가지된장찜,['찜'],한식,메인요리,매우 쉬움,"['가지 1개', '돼지고기 50g', '다진파 약간', '다진마늘 약간']",30
건포도닭찜,['찜'],한식,메인요리,쉬움,['닭고기 1kg'],60
계란찜,['찜'],한식,메인요리,매우 쉬움,['계란 2개'],20
꼬막양념찜,['찜'],한식,메인요리,매우 쉬움,['꼬막 600g'],25
꽈리고추찜,['찜'],한식,메인요리,매우 쉬움,['꽈리고추 150g'],30
머위 조기찜,['찜'],한식,메인요리,매우 쉬움,"['조기 4마리', '머위 100g']",30
명란찜,['찜'],한식,메인요리,매우 쉬움,['명란젓 100g'],20
모듬나물계란찜,['찜'],한식,메인요리,매우 쉬움,"['두부적 1개', '삼색나물 각20g', '계란 3개']",30
모듬해산물채소찜,['찜'],한식,메인요리,매우 쉬움,"['배춧잎 8장', '대구(4cm폭) 4토막']",30
바지락콩나물찜,['찜'],한식,메인요리,매우 쉬움,"['콩나물 30g', '바지락 20g']",30
밥계란찜,['찜'],한식,메인요리,매우 쉬움,"['찬밥 1공기', '계란 4개', '햄 20g']",20
버섯두부선,['찜'],한식,메인요리,매우 쉬움,"['두부 1/2모', '표고버섯 2개', '계란 2개']",30
소꼬리찜,['찜'],한식,메인요리,매우 쉬움,['소꼬리 5토막'],60
쇠고기가지찜,['찜'],한식,메인요리,매우 쉬움,"['다진쇠고기(홍두깨) 200g', '가지 2개']",20
쇠고기청고추찜,['찜'],한식,메인요리,매우 쉬움,"['쇠고기 100g', '청고추 150g']",30
알찜,['찜'],한식,메인요리,매우 쉬움,['계란 3개'],30
양배추&호박찜,['찜'],한식,메인요리,매우 쉬움,"['양배추 1/4통', '호박잎 20장']",30
콘새우계란찜,['찜'],한식,메인요리,매우 쉬움,"['새우 3마리', '표고버섯 1장', '계란 2개', '스위트콘 1/2캔']",30
티포크쌈,['찜'],한식,메인요리,매우 쉬움,"['돼지고기 600g', '된장 2와1/2큰술', '김치 1포기']",60
편육파채무침,['찜'],한식,메인요리,쉬움,"['돼지고기(편육용) 800g', '파 4뿌리']",60
갖은나물,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,"['고사리 150g', '도라지 150g', '시금치 150g', '숙주 150g', '참나물 100g']",30
골뱅이냉채,"['나물', '생채', '샐러드']",한식,메인요리,매우 쉬움,['골뱅이 1통'],30
골뱅이무침,"['나물', '생채', '샐러드']",한식,메인요리,매우 쉬움,"['골뱅이통조림 200g', '오이 50g', '양파 50g']",30
골뱅이옥수수무침,"['나물', '생채', '샐러드']",한식,메인요리,매우 쉬움,"['골뱅이 200g', '오징어포 200g']",30
냉이초무침,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,['냉이 200g'],30
다시마채소말이,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,"['쌈다시마 8장', '오징어 1마리']",30
달래무침과냉이나물,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,"['달래 100g', '냉이 200g']",30
달래오이무침,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,"['달래 80g', '오이 1/2']",30
닭가슴살해파리샐러드,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,"['닭(가슴살) 50g', '해파리 60g']",30
대파생채,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,['대파 2대'],10
도라지생채,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,['도라지 200g'],25
도라지오이생채,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,"['도라지 200g', '오이 1개']",20
도토리묵무침,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,"['도토리묵 2모', '쑥갓 1/2단', '오이 1개']",15
돌나물달래샐러드,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,"['돌나물 50g', '달래 15g']",20
두릅된장무침,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,"['두릅 200g', '된장 1큰술', '실고추 1큰술']",30
두릅숙회,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,['두릅 12개'],30
두부미역냉채,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,"['두부 1모', '미역 100g']",30
두부채소냉채,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,"['두부 1/2모', '쇠고기 80g']",30
무생채,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,['무 1/4개'],20
무쌈말이,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,['절임무 1팩'],30
묵과양념장,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,"['도토리묵 1/2모', '청포묵 1/2모']",20
미나리꼬막간장무침,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,"['꼬막 30개', '미나리 10g']",20
사색나물,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,"['콩나물 50g', '도라지 50g', '시금치 50g', '고사리 50g']",30
상추채소무침,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,"['상추 10g', '들깻잎 10g', '쑥갓 5g', '케일 10g']",20
새우겨자채,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,['새우 5마리'],30
송어샐러드,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,['송어(슬라이스) 1마리'],30
숙주미나리무침,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,"['숙주 100g', '미나리 50g']",20
시금치무침,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,['시금치 100g'],20
오이나물,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,['오이 2개'],15
오징어도라지생채,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,"['도라지 100g', '오징어 1마리']",30
오징어숙회,"['나물', '생채', '샐러드']",한식,메인요리,매우 쉬움,['오징어 1마리'],60
오징어와마늘소스,"['나물', '생채', '샐러드']",한식,메인요리,매우 쉬움,['오징어 1마리'],30
오징어초말이,"['나물', '생채', '샐러드']",한식,메인요리,매우 쉬움,['오징어 2마리'],25
우묵냉채,"['나물', '생채', '샐러드']",한식,메인요리,매우 쉬움,['우묵 100g'],20
유부냉채,"['나물', '생채', '샐러드']",한식,메인요리,매우 쉬움,"['유부 80g', '숙주 50g']",30
육회,"['나물', '생채', '샐러드']",한식,메인요리,매우 쉬움,"['쇠고기(우둔) 30g', '배 1/4쪽', '잣가루 1작은술', '잣 약간']",30
전어회무침,"['나물', '생채', '샐러드']",한식,메인요리,매우 쉬움,['전어 3마리'],30
죽순회와미나리강회,"['나물', '생채', '샐러드']",한식,메인요리,매우 쉬움,"['죽순 1개', '미나리 5줄기']",20
차돌박이겉절이무침,"['나물', '생채', '샐러드']",한식,메인요리,매우 쉬움,"['차돌박이 200g', '얼갈이배추 적당량', '영양부추 적당량']",60
참나물간장무침,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,['참나물 200g'],20
참나물고추장무침,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,['참나물 100g'],20
채소무침,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,['쌈야채 500g'],20
청경채닭살무침,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,['청경채 100g'],30
초고추장쑥무침,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,"['쑥 150g', '미나리 50g']",30
탕평채,"['나물', '생채', '샐러드']",한식,메인요리,쉬움,"['청포묵 1개(200g)', '쇠고기(우둔) 100g', '숙주 100g', '소금 1/2작은술']",60
팽이버섯냉채,"['나물', '생채', '샐러드']",한식,메인요리,매우 쉬움,"['팽이버섯 100g', '오이 1/2개']",20
해물잣소스무침,"['나물', '생채', '샐러드']",한식,메인요리,매우 쉬움,"['새우 5마리', '오징어 1/4마리']",30
해파리냉채,"['나물', '생채', '샐러드']",한식,메인요리,매우 쉬움,"['해파리 300g', '게맛살 8개', '오이 1개']",60
해파리새우말이냉채,"['나물', '생채', '샐러드']",한식,메인요리,매우 쉬움,"['해파리 50g', '새우 10마리', '오이 20g']",30
해파리해물냉채,"['나물', '생채', '샐러드']",한식,메인요리,쉬움,"['해파리 80g', '새우 6개', '쭈꾸미 20g']",60
해파리해물냉채,"['나물', '생채', '샐러드']",한식,메인요리,매우 쉬움,"['해파리 80g', '새우 4개', '쭈구미 20g']",30
가지김치,"['밑반찬', '김치']",한식,반찬,매우 쉬움,"['가지 2개', '부추 20g', '고춧가루 1큰술']",30
깍두기,"['밑반찬', '김치']",한식,반찬,매우 쉬움,['무 2개'],60
깻잎롤김치,"['밑반찬', '김치']",한식,반찬,매우 쉬움,"['깻잎 5묶음', '밤 10개', '홍고추 3개', '청고추 3개']",30
깻잎말이김치,"['밑반찬', '김치']",한식,반찬,매우 쉬움,"['깻잎 5묶음', '밤 10개']",30
깻잎조림,"['밑반찬', '김치']",한식,반찬,매우 쉬움,['깻잎 20장'],15
된장깻잎장아찌,"['밑반찬', '김치']",한식,반찬,매우 쉬움,['깻잎 30장'],20
마늘장아찌,"['밑반찬', '김치']",한식,반찬,매우 쉬움,"['마늘 10통', '간장 1/2컵']",20
마늘쫑굴소스볶음,"['밑반찬', '김치']",한식,반찬,매우 쉬움,"['마늘쫑 200g', '새우(마른것) 한줌']",20
마른오징어조림,"['밑반찬', '김치']",한식,반찬,매우 쉬움,['마른오징어 2마리'],30
매실장아찌,"['밑반찬', '김치']",한식,반찬,매우 쉬움,['매실 1kg'],30
무말랭이장아찌,"['밑반찬', '김치']",한식,반찬,매우 쉬움,['무 600g'],20
무우갑장과,"['밑반찬', '김치']",한식,반찬,매우 쉬움,"['무 300g', '쇠고기 50g']",30
무초김치,"['밑반찬', '김치']",한식,반찬,매우 쉬움,['무 1/2'],30
미나리나물,"['밑반찬', '김치']",한식,반찬,매우 쉬움,['미나리 1/2단'],60
배추겉절이,"['밑반찬', '김치']",한식,반찬,매우 쉬움,['배추 1/4통'],30
봄동겉절이,"['밑반찬', '김치']",한식,반찬,매우 쉬움,['봄동 100g'],30
붉은갓동치미,"['밑반찬', '김치']",한식,반찬,매우 쉬움,"['무(1/2kg 정도 크기) 1개', '붉은갓 50g']",30
새송이장조림,"['밑반찬', '김치']",한식,반찬,매우 쉬움,['새송이버섯 3개'],30
섞박지,"['밑반찬', '김치']",한식,반찬,매우 쉬움,"['배추 2포기', '무 2개']",30
시금치나물,"['밑반찬', '김치']",한식,반찬,매우 쉬움,['시금치 1/2단'],20
양파김치,"['밑반찬', '김치']",한식,반찬,매우 쉬움,"['양파 3개', '부추 30g']",30
오이갑장과,"['밑반찬', '김치']",한식,반찬,매우 쉬움,"['오이 2개', '쇠고기 60g']",30
오징어젓갈,"['밑반찬', '김치']",한식,반찬,쉬움,['오징어 1마리'],60
잔멸치된장볶음,"['밑반찬', '김치']",한식,반찬,매우 쉬움,"['잔멸치 100g', '된장 1작은술', '밥 4공기']",30
잔멸치파래튀김,"['밑반찬', '김치']",한식,반찬,매우 쉬움,"['잔멸치 200g', '파래김 100g']",30
채소피클깻잎말이,"['밑반찬', '김치']",한식,반찬,매우 쉬움,"['오이 1/2개', '무 1/6개', '당근 1/2개', '깻잎 15장', '미나리 1/3단']",30
콩나물무침,"['밑반찬', '김치']",한식,반찬,매우 쉬움,['콩나물 600g'],20
콩나물미나리무침,"['밑반찬', '김치']",한식,반찬,매우 쉬움,"['콩나물 40g', '미나리 3줄기']",20
통마늘장아찌,"['밑반찬', '김치']",한식,반찬,매우 쉬움,['통마늘 20쪽'],60
파래무침,"['밑반찬', '김치']",한식,반찬,매우 쉬움,['파래 50g'],20
향신양념무장아찌,"['밑반찬', '김치']",한식,반찬,매우 쉬움,['무 600g'],20
향신양념콩나물무침,"['밑반찬', '김치']",한식,반찬,매우 쉬움,['콩나물 150g'],20
홍차계란장조림,"['밑반찬', '김치']",한식,반찬,매우 쉬움,"['홍차티백 4개', '계란 5개']",60
가래떡꼬치,"['도시락', '간식']",한식,간식,매우 쉬움,['가래떡 1줄'],60
고구마맛탕,"['도시락', '간식']",한식,반찬,매우 쉬움,['고구마 300g'],60
밤맛탕,"['도시락', '간식']",한식,반찬,매우 쉬움,"['밤 20알', '설탕 1/2컵']",30
사과탕,"['도시락', '간식']",한식,반찬,매우 쉬움,['사과 1개'],30
