메뉴 이름,방법 분류,국가 분류,테마 분류,난이도 분류,주재료 이름,조리시간
쌀국수,"['만두', '면류']",동남아시아,메인요리,매우 쉬움,"['쌀국수 70g', '쇠고기(양지) 30g', '[쇠고기육수] 쇠뼈 400g', '쇠꼬리 2토막', '양파 1개', '생강 2개', '팔각 1개', '정향 3개', '통계피(5cm 길이) 1토막']",30
레드드라이비프커리,"['찌개', '전골', '스튜']",동남아시아,메인요리,매우 쉬움,"['쇠고기 100g', '코코넛 밀크 1/4컵', '레드커리페이스트 1큰술']",30
인도식감자전병,['부침'],동남아시아,메인요리,매우 쉬움,"['밀가루 1컵', '감자(삶아으깬것) 1개']",30
해물필라프,"['밥', '죽', '스프']",이탈리아,메인요리,쉬움,"['쌀 1컵', '오징어 1마리', '새우 3마리', '고동 1개', '바지락 5개']",60
해물필라프,"['밥', '죽', '스프']",이탈리아,메인요리,쉬움,"['쌀 2컵', '오징어 1마리', '새우 5마리']",60
닭가슴살 샐러드와 오렌지드레싱,"['나물', '생채', '샐러드']",이탈리아,메인요리,매우 쉬움,"['닭가슴살 2개', '건포도 10g', '잣 2개', '후레쉬 치즈덩어리(롤링한것) 약간', '갖가지 채소 적당량']",25
로메인 시저샐러드,"['나물', '생채', '샐러드']",이탈리아,반찬,매우 쉬움,"['로메인 50g', '루꼴라 50g']",20
모짜렐라 카프레제,"['나물', '생채', '샐러드']",이탈리아,반찬,매우 쉬움,"['후레쉬 모짜렐라 50g', '토마토 6개']",10
시저샐러드프렌치드레싱,"['나물', '생채', '샐러드']",이탈리아,반찬,매우 쉬움,['로메인레터스(상추로 대체가능) 100g'],30
시칠리아문어샐러드,"['나물', '생채', '샐러드']",이탈리아,반찬,매우 쉬움,['문어 100g'],30
쌀샐러드,"['나물', '생채', '샐러드']",이탈리아,반찬,쉬움,"['쌀 60g', '낙지 1마리']",60
연어까르파치오,"['나물', '생채', '샐러드']",이탈리아,메인요리,매우 쉬움,['연어(포뜬것) 6조각'],30
조개샐러드,"['나물', '생채', '샐러드']",이탈리아,메인요리,매우 쉬움,"['여러가지채소 200g', '모시조개 100g']",20
파스타샐러드,"['나물', '생채', '샐러드']",이탈리아,메인요리,매우 쉬움,"['푸실리 150g', '청피망 1/2개', '파프리카 1/2개', '홍피망 1/2개']",30
브루스케타,['양식'],이탈리아,메인요리,매우 쉬움,"['블루치즈(고르곤졸라) 1큰술', '크림치즈 2큰술', '바게트(슬라이스) 6개']",20
페델리니 카르보나라,['양식'],이탈리아,메인요리,매우 쉬움,"['페델리니 40g', '베이컨 20g', '양파 10g']",10
바치디다마쿠키,"['빵', '과자']",이탈리아,간식,매우 쉬움,"['밀가루(박력분) 50g', '버터(제과용) 55g']",60
비스코티,"['빵', '과자']",이탈리아,간식,쉬움,"['밀가루(박력분) 200g', '아몬드가루 25g', '통아몬드 90g', '건포도 70g', '피스타치오 50g']",60
까르보나라 (이탈리아식),"['만두', '면류']",이탈리아,메인요리,매우 쉬움,"['돼지 볼살(혹은 베이컨) 60g', '스파게티 100g', '파마산치즈가루 1큰술']",30
까르보나라 (한국식),"['만두', '면류']",이탈리아,메인요리,매우 쉬움,"['돼지 볼살(혹은 베이컨) 60g', '스파게티 100g', '생크림 300g']",30
뇨끼프리마베라,"['만두', '면류']",이탈리아,메인요리,매우 쉬움,"['단호박 200g', '감자 200g', '밀가루 80g', '계란 40g']",20
다나블루소스의 그린파스타,"['만두', '면류']",이탈리아,메인요리,매우 쉬움,"['우유 150ml', '밀가루 1작은술', '다나블루치즈(블루치즈) 40g', '스파게티(국수) 150g']",30
버섯파스타,"['만두', '면류']",이탈리아,메인요리,매우 쉬움,"['파스타 250g', '표고버섯 150g', '느타리버섯 100g', '양송이버섯 100g']",25
봄채소파스타,"['만두', '면류']",이탈리아,메인요리,매우 쉬움,"['아스파라거스 4줄기', '파프리카(구운 것) 1/2개', '루꼴라 60g', '새송이버섯 2개', '호박 100g', '가지 100g', '스파게티 160g']",30
블랙스파게티,"['만두', '면류']",이탈리아,메인요리,매우 쉬움,"['스파게티 400g', '오징어 1/2마리', '먹물주머니 4~5개']",30
시금치크림소스푸질리,"['만두', '면류']",이탈리아,메인요리,매우 쉬움,"['푸질리(파스타) 180g', '시금치 120g']",30
시칠리안 링귀니,"['만두', '면류']",이탈리아,메인요리,매우 쉬움,"['링귀니 파스타 40g', '시칠리안 올리브 4개']",20
오븐스파게티,"['만두', '면류']",이탈리아,메인요리,쉬움,"['쇠고기 100g', '스파게티면 50g', '올리브오일 약간']",60
조개토마토스파게티,"['만두', '면류']",이탈리아,메인요리,매우 쉬움,"['스파게티 100g', '바지락 8개']",30
치킨스파게티,"['만두', '면류']",이탈리아,메인요리,매우 쉬움,"['스파게티면 100g', '토마토페이스트 50g', '닭 1/4마리']",30
토마토스파게티,"['만두', '면류']",이탈리아,메인요리,매우 쉬움,"['스파게티 84g', '홀토마토 1/2캔']",30
토마토해산물스파게티,"['만두', '면류']",이탈리아,메인요리,매우 쉬움,"['오징어 1/2마리', '새우 4마리', '홍합 6개', '모시조개 4개', '동태살 10g', '꼴뚜기 3마리', '스파게티 150g', '토마토 1개']",30
페스토소스스파게티,"['만두', '면류']",이탈리아,메인요리,매우 쉬움,['스파게티 100g'],30
펜네 아라비아따,"['만두', '면류']",이탈리아,메인요리,매우 쉬움,"['작은고추 8개', '토마토소스 400g', '펜네 200g']",30
펠라레제 파스타,"['만두', '면류']",이탈리아,메인요리,매우 쉬움,"['파스타 15개', '닭가슴살 100g']",30
푸실리크림스파게티,"['만두', '면류']",이탈리아,메인요리,매우 쉬움,['푸실리 150g'],30
피망소스라자냐,"['만두', '면류']",이탈리아,메인요리,매우 쉬움,['라자냐 10장'],30
가지치즈그라탕,"['그라탕', '리조또']",이탈리아,메인요리,매우 쉬움,['가지 1개'],30
관자와버섯을곁들인리조또,"['그라탕', '리조또']",이탈리아,메인요리,쉬움,"['관자 2개', '새송이버섯 1개', '양송이버섯 8개', '쌀 120g']",60
시칠리아식 가지요리,"['그라탕', '리조또']",이탈리아,메인요리,매우 쉬움,"['가지 슬라이스 6장', '밀가루 30g', '올리브오일 30g', '소금 적당량', '오레가노 5g', '토마토소스 100g', '모짜렐라치즈 100g', '바질 적당량', '파마산치즈가루 10g']",30
해물라이스그라탕,"['그라탕', '리조또']",이탈리아,메인요리,쉬움,"['모시조개 20g', '홍합 30g', '밥 1공기', '피자치즈 20g']",60
해물리조또,"['그라탕', '리조또']",이탈리아,메인요리,매우 쉬움,"['쌀 1컵', '새우 3마리', '모시조개 3개']",30
리코타칼조네,['피자'],이탈리아,메인요리,매우 쉬움,"['밀가루반죽(레시피참고) 180g', '리코타치즈 40g', '파마산가루 20g']",30
메뉴판피자,['피자'],이탈리아,메인요리,쉬움,"['밀가루(강력분) 200g', '밀가루(박력분) 50g']",60
피자,['피자'],이탈리아,메인요리,매우 쉬움,"['밀가루(도우) 1kg', '토마토소스 1/5컵', '모짜렐라치즈 120g', '소금(도우) 12g', '올리브오일(도우) 25g', '설탕(도우) 40g', '미온수(도우) 526g', '이스트(도우) 15g', '소금 약간']",30
미니또띠아치킨롤,"['샌드위치', '햄버거']",멕시코,메인요리,쉬움,"['닭안심 50g', '또띠아 2장']",60
양파와토마토의또띠아치킨롤,"['샌드위치', '햄버거']",멕시코,메인요리,쉬움,"['또띠아 2장', '닭안심 50g']",60
건포도새우XO소스볶음밥,"['밥', '죽', '스프']",퓨전,메인요리,매우 쉬움,"['건포도 30g', '칵테일새우 100g', '찬밥 2공기']",30
김치연어롤,"['밥', '죽', '스프']",퓨전,메인요리,매우 쉬움,"['백김치잎 5장', '훈제연어 8장']",60
깨소스밥꼬치,"['밥', '죽', '스프']",퓨전,메인요리,쉬움,"['깨 2큰술', '호두 4알']",60
마늘볶음국수,"['밥', '죽', '스프']",퓨전,메인요리,매우 쉬움,"['우동면 150g', '간마늘(간) 1작은술']",30
스팸스시,"['밥', '죽', '스프']",퓨전,메인요리,쉬움,"['김 1~2장', '스팸 1개', '밥 1공기', '무순 1/2팩', '와사비 약간']",60
시금치베이컨주먹밥,"['밥', '죽', '스프']",퓨전,메인요리,매우 쉬움,"['밥 2공기', '시금치 250g', '베이컨 2장']",20
어묵김밥,"['밥', '죽', '스프']",퓨전,메인요리,매우 쉬움,"['어묵 2장', '밥 1공기']",30
이유식치즈죽,"['밥', '죽', '스프']",퓨전,메인요리,매우 쉬움,"['밥 1/2공기', '치즈(슬라이스) 2장', '물 적당량']",20
참치김밥,"['밥', '죽', '스프']",퓨전,메인요리,매우 쉬움,"['밥 6공기', '김 6장', '참치통조림 1캔', '단무지 1/2통', '계란 2개', '우엉 50g', '어묵 2장', '햄 50g', '맛살 4개', '오이 1개']",30
찹밥키쉬,"['밥', '죽', '스프']",퓨전,메인요리,매우 쉬움,"['밥 1공기', '감자 1개', '계란 2개', '팽이버섯 20g', '베이컨 3장', '청피망 1/2개', '홍피망 1/2개', '당근 1/3개', '우유 1/3컵', '파마산치즈 2큰술', '소금 약간', '후춧가루 약간']",30
채소새우찜밥,"['밥', '죽', '스프']",퓨전,메인요리,쉬움,"['찹쌀 1컵', '새우 3마리']",60
채소치즈죽,"['밥', '죽', '스프']",퓨전,메인요리,매우 쉬움,"['햄 10g', '양파 1/4개', '밥 1공기', '치즈(슬라이스) 2장']",20
